AtcoCode,PlateCode,CommonName,CommonNameGA,ShortCommonName,ShortCommonNameGA,Street,NptgLocalityRef,Easting,Northing,Latitude,Longitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,isActive
8260B1038101,103811,St Corban's Cemetery,Reilig N Corban,St Corban's Cemetery,Reilig N Corban,,E0826019,690098,720322,53.2256491831853,-6.65068033829214,BCT,MKD,OTH,SW,,826,TRUE
8260B1038201,103821,St Corban's Place,Plás N Corban,St Corban's Place,Plás N Corban,,E0826019,689707,719888,53.2218159855149,-6.65665628648024,BCT,MKD,OTH,SW,,826,TRUE
8260B1040201,104021,Curragh Road,Bóthar an Churaigh,Curragh Road,Bóthar an Churaigh,,E0826010,673362,712155,53.1548381592732,-6.90313933115052,BCT,MKD,OTH,E,,826,TRUE
8260B1040301,104031,French Furze Road,Aitinn na bhFrancach,French Furze Road,Aitinn na bhFrancach,,E0826010,674056,712037,53.1536818668906,-6.89279248782273,BCT,MKD,OTH,NW,,826,TRUE
8260B1040401,104041,Maddenstown Terrace,B Madaín Thuaidh,Maddenstown Terrace,B Madaín Thuaidh,,E0826846,676310,710921,53.1433361027454,-6.85936602288687,BCT,MKD,OTH,E,,826,TRUE
8260B1056501,105651,Brownstown,Baile an Bhrúnaigh,Brownstown,Baile an Bhrúnaigh,,E0826033,677652,710470,53.1390898973703,-6.83942035971295,BCT,MKD,OTH,E,,826,TRUE
8260B1040601,104061,Orchard Park,Páirc an Úlloird,Orchard Park,Páirc an Úlloird,,E0826480,677903,710983,53.143662781818,-6.83554511480377,BCT,MKD,OTH,N,,826,TRUE
8260B1040701,104071,Curragh,An Currach,Curragh,An Currach,,E0826480,678257,711378,53.1471601473288,-6.83015845321941,BCT,MKD,OTH,N,,826,TRUE
8260B1040801,104081,St Brigid's Hospice,Ospís N Bríd,St Brigid's Hospice,Ospís N Bríd,,E0826480,679109,712533,53.1574124023661,-6.81713988594893,BCT,CUS,OTH,SE,,826,TRUE
8260B1040901,104091,Green Road,Bóthar na Faiche,Green Road,Bóthar na Faiche,,E0826001,679604,713865,53.1693070478467,-6.80940904855004,BCT,MKD,OTH,N,,826,TRUE
8260B1369901,136991,Moorefield Crescent,Cn Gort an Mhúraigh,Moorefield Crescent,Cn Gort an Mhúraigh,,E0826001,679709,714287,53.1730831168054,-6.80773387886405,BCT,MKD,OTH,NE,,826,TRUE
8260B1041001,104101,Newbridge Retail,IM an Droichid Nua,Newbridge Retail,IM an Droichid Nua,,E0826001,680021,714687,53.1766304133423,-6.80296812881822,BCT,MKD,OTH,NE,,826,TRUE
8260B1041201,104121,Riverbank Theatre,Amharclann Riverbank,Riverbank Theatre,Amharclann Riverbank,,E0826001,680535,715299,53.1820518534897,-6.79512697260494,BCT,MKD,OTH,NE,,826,TRUE
8260B1041301,104131,St Conleth's Church,Séipéal N Connlaodh,St Conleth's Church,Séipéal N Connlaodh,,E0826001,680817,715464,53.1834916698966,-6.79086733552204,BCT,MKD,OTH,NE,,826,TRUE
8260B1041401,104141,Great Connell,Connail Mhór,Great Connell,Connail Mhór,,E0826001,681053,715599,53.1846687838755,-6.78730309685548,BCT,MKD,OTH,NE,,826,TRUE
8260B1041501,104151,Willowbrook Home,Willowbrook Home,Willowbrook Home,Willowbrook Home,,E0826001,683195,717599,53.2023083799218,-6.75474248405772,BCT,MKD,OTH,NE,,826,TRUE
8260B1041601,104161,Toughers Ind Estate,East Tions Toughers,Toughers Ind Estate,East Tions Toughers,,E0826001,683823,718158,53.2072323994236,-6.74519835570599,BCT,MKD,OTH,NE,,826,TRUE
8260B1057501,105751,Newhall Retail Park,Pairc an Halla Nua,Newhall Retail Park,Pairc an Halla Nua,,E0826019,686507,718618,53.2109356474711,-6.70490622024098,BCT,MKD,OTH,NE,,826,TRUE
8260B1041801,104181,Southern Link Park,Páirc an Naisc Theas,Southern Link Park,Páirc an Naisc Theas,,E0826019,687125,718772,53.2122184167991,-6.69561474577079,BCT,MKD,OTH,E,,826,TRUE
8260B1041901,104191,Fire Station,Stáisiún Dóiteáin,Fire Station,Stáisiún Dóiteáin,,E0826019,688847,719250,53.216228184027,-6.66970843270613,BCT,MKD,OTH,E,,826,TRUE
8260B1042001,104201,Naas Poplar Square,Cearnóg na Poibleoige,Naas Poplar Square,Cearnóg na Poibleoige,,E0826019,689413,719645,53.2196822454928,-6.66112565578661,BCT,MKD,OTH,NE,,826,TRUE
8260B1042101,104211,St Corban's Place,Plás N Corban,St Corban's Place,Plás N Corban,,E0826019,689701,719909,53.2220056755187,-6.65674020377437,BCT,MKD,OTH,NE,,826,TRUE
8260B1042201,104221,St Corban's Cemetery,Reilig N Corban,St Corban's Cemetery,Reilig N Corban,,E0826019,690118,720355,53.2259422847988,-6.65037158293054,BCT,MKD,OTH,NE,,826,TRUE
8260B1042301,104231,Roseville,Roseville,Roseville,Roseville,,E0826019,690303,720531,53.227492175315,-6.64755199252545,BCT,MKD,OTH,NE,,826,TRUE
8260B1042401,104241,Naas Odeon Cinema,Pictiúrlann an Náis,Naas Odeon Cinema,Pictiúrlann an Náis,,E0826019,690863,721062,53.2321675351494,-6.63901627655512,BCT,MKD,OTH,NE,,826,TRUE
8260B1042501,104251,Johnstown,Baile Sheáin,Johnstown,Baile Sheáin,,E0826004,691877,721540,53.2362877734106,-6.62369517826655,BCT,MKD,OTH,NE,,826,TRUE
8260B1042601,104261,The Gables,Na Beanna,The Gables,Na Beanna,,E0826012,693722,722683,53.2462346748495,-6.59573017042129,BCT,MKD,OTH,E,,826,TRUE
8260B1042701,104271,Kill,An Chill,Kill,An Chill,,E0826012,693975,722913,53.2482563726134,-6.59187278334318,BCT,MKD,OTH,NE,,826,TRUE
8260B1042801,104281,St Brigid's Church,Séipéal N Bríd,St Brigid's Church,Séipéal N Bríd,,E0826012,694118,723005,53.2490576095076,-6.58970358894013,BCT,MKD,OTH,NE,,826,TRUE
8260B1042901,104291,Castlewarden,Caisleán Bhairnín,Castlewarden,Caisleán Bhairnín,,E0826338,696486,723808,53.2558469800427,-6.55398959540972,BCT,MKD,OTH,SE,,826,TRUE
8260B1056401,105641,Suncroft,Crochta na Gréine,Suncroft,Crochta na Gréine,,E0826035,676253,706978,53.1079144996035,-6.86115488640609,BCT,CUS,OTH,NE,,826,TRUE
