Route_No,Comments_1,Shape_Leng,cdo,twoway,sruface_ch,bollardpro,temporary,mandatory,width,surface_ch,buslane,OBJECTID,datasource,classifica,classifi_1,cyclelane,shareduse,segregated,trafficfre,signedrout,oneside,twoway_sin,oneplus,review,difference,gid,MERGE_SRC,Shape_Le_1
,,262.92655221900,,"0","0","0","0","0",0.00000000000,"1","0","1109",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","388",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,262.92655221900
,,99.20081873490,,"0","0","0","0","0",0.00000000000,"0","1","1110",gda_base_cycle_network,"segregatedcyclelane;buslane",,"0","0","1","0","0","0","1","1","1","1","753",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,99.20081873490
,,43.77574957410,,"0","0","0","0","0",0.00000000000,"1","0","1111",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","0","754",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,43.77574957410
,,35.91594199790,,"0","0","0","0","0",0.00000000000,"0","0","1112",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","1","773",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,35.91594199790
,,144.22340589800,,"0","0","0","0","0",0.00000000000,"1","0","1113",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","777",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,144.22340589800
,,53.66173172520,,"0","0","0","0","0",0.00000000000,"1","0","1114",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","789",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,53.66173172520
,,166.48511216700,,"0","0","0","0","0",0.00000000000,"1","0","1115",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","819",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,166.48511216700
,,219.12593575700,,"0","0","0","0","0",0.00000000000,"1","0","1116",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","820",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,219.12593575700
,,411.28448667500,,"0","0","0","0","0",0.00000000000,"1","0","1117",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","822",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,411.28448667500
,,49.67593470470,,"0","0","0","0","0",0.00000000000,"0","0","1118",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","0","837",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,49.67593470470
,,37.83713626790,,"0","0","0","0","0",0.00000000000,"0","0","1119",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","0","924",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,37.83713626790
,,24.67636830930,,"0","0","0","0","0",0.00000000000,"0","0","1120",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","1","933",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,24.67636830930
,,240.21974715200,,"0","0","0","0","0",0.00000000000,"1","0","1121",gda_base_cycle_network,surfacechange,,"0","0","0","0","0","0","1","0","1","1","961",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,240.21974715200
,,24.48396531500,,"0","0","0","0","0",0.00000000000,"0","0","1122",gda_base_cycle_network,cyclelane,,"1","0","0","0","0","0","1","0","1","0","978",New Group Layer\Dublin_BikeLife_20200206_Compass_Less_Intersect,24.48396531500
